合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
HZQT20240154,杭州迈驰除湿净化设备有限公司,杭州迈驰除湿净化设备有限公司-安全生产台账-2024年,12000.00,8000.00,4000.00,2027-04-24 16:00:00,,2026-06-25 08:00:32,孙国茗,孙国茗
QT-HT-2026-2844,杭州盈升钢铁有限公司,杭州盈升钢铁有限公司-安全生产台账-2023年,10500.00,7000.00,3500.00,2026-10-29 16:00:00,,2026-06-25 08:00:32,赵丽琴,沈琳莉
HZJT20250034,杭州滨彩精密五金有限公司,杭州滨彩精密五金有限公司-安全生产台账（锦泰）-2025年,3500.00,0,3500.00,2026-03-23 16:00:00,overdue_terminated,2026-06-26 10:00:06,施佳鑫,施佳鑫
QT-HT-2026-0001,杭州万立特布艺有限公司,杭州万立特布艺有限公司-社会化服务（锦泰）-2020年,5000.00,2000.00,3000.00,2021-12-16 16:00:00,overdue_terminated,2026-06-26 10:00:05,许海菲,许海菲
QT-HT-2026-3065,视睿（杭州）信息科技有限公司,视睿（杭州）信息科技有限公司-风险管控-2024年,6000.00,3000.00,3000.00,2025-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,胡建国,胡建国
HZJT20240245,杭州荣达电器元件有限公司,杭州荣达电器元件有限公司-安全生产台账（锦泰）-2024年,9000.00,6000.00,3000.00,2027-08-28 16:00:00,,2026-06-25 08:00:32,沈陈强,沈陈强
QT-HT-2026-3013,杭州顶华木材有限公司,杭州顶华木材有限公司-风险管控-2024年,6000.00,3000.00,3000.00,2024-07-30 16:00:00,,2026-06-23 03:18:57,徐德国,沈陈强
HZQT2026010-DUP1,杭州惠宏仪表配件有限公司,杭州惠宏仪表配件有限公司-风险管控-2026年,6000.00,3000.00,3000.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:05,胡建国,朱越华
QT-HT-2026-1070,杭州飞玛汽车服务有限公司,杭州飞玛汽车服务有限公司-安全生产台账-2021年,3000.00,0,3000.00,2021-09-01 16:00:00,overdue_terminated,2026-06-26 10:00:03,俞红霞,彭代中
QT-HT-2026-3014,杭州顶华木材有限公司,杭州顶华木材有限公司-安全生产台账（锦泰）-2024年,6000.00,3000.00,3000.00,2025-05-15 16:00:00,overdue_terminated,2026-06-26 10:00:07,沈陈强,沈陈强
QT-HT-2026-3221,杭州永正电气有限公司,杭州永正电气有限公司-危化品专家意见书（锦泰）-2026年,2800.00,0,2800.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:03,陈尔平,沈琳莉
QT-HT-2026-2477,杭州余杭区瓶窑镇浩仕食品商行,杭州余杭区瓶窑镇浩仕食品商行-安全生产台账-2023年,2500.00,0,2500.00,2023-06-29 16:00:00,overdue_terminated,2026-06-26 10:00:05,孙国茗,陈涛
QT-HT-2026-3199,杭州鸿科建筑模型设计有限公司,杭州鸿科建筑模型设计有限公司-安全生产台账（锦泰）-2025年,2000.00,0,2000.00,2026-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,沈陈强,沈琳莉
QT-HT-2026-3049,杭州蓝润中空玻璃有限公司,杭州蓝润中空玻璃有限公司-安全生产台账-2024年,2000.00,0,2000.00,2024-08-06 16:00:00,overdue_terminated,2026-06-26 10:00:07,沈陈强,沈陈强
HZJT2026033,杭州利乐纸管有限公司,杭州利乐纸管有限公司-安全生产台账（锦泰）-2026年,2000.00,0,2000.00,2026-03-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,丁红英,丁红英
QT-HT-2026-3091,杭州明锐织带机有限公司,杭州明锐织带机有限公司-风险管控（锦泰）-2025年,4000.00,2000.00,2000.00,2025-03-20 16:00:00,overdue_terminated,2026-06-26 10:00:07,徐德国,徐德国
HZJT2026025,杭州凯盛食品有限公司,杭州凯盛食品有限公司-安全生产台账（锦泰）-2026年,1800.00,0,1800.00,2026-03-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,丁红英,丁红英
HZQT20250098,杭州市余杭区瓶窑镇人民政府,杭州市余杭区瓶窑镇人民政府-其它-2025年,95000.00,93400.00,1600.00,2025-12-30 16:00:00,,2026-06-23 03:18:57,吴增苗,吴增苗
HZJT2026009,杭州建龙机械制造有限公司,杭州建龙机械制造有限公司-其它-2026年,1000.00,0,1000.00,2026-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,陈培奖,沈琳莉
HZJT20240269,杭州仁合电子科技有限公司,杭州仁合电子科技有限公司-危化品专家意见书（锦泰）-2024年,0.01,0,0.01,2025-01-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,徐德国,杨殿斌
QT-HT-2026-2050,杭州朗昱成套电器设备有限公司,杭州朗昱成套电器设备有限公司-风险管控-2023年,0.01,0,0.01,2023-06-29 16:00:00,overdue_terminated,2026-06-26 10:00:06,段绘新,倪越昌
QT-HT-2026-2094,杭州澳航木业有限公司,杭州澳航木业有限公司-标准化咨询-2023年,0.01,0,0.01,2023-08-03 16:00:00,overdue_terminated,2026-06-26 10:00:06,孙国茗,陈涛
QT-HT-2026-2227,浙江振久捷能源科技有限责任公司,浙江振久捷能源科技有限责任公司-社会化服务-2023年,0.01,0,0.01,2024-04-26 16:00:00,overdue_terminated,2026-06-26 10:00:06,施佳鑫,胡建国
QT-HT-2026-2263,杭州刘洋餐具包装有限公司,杭州刘洋餐具包装有限公司-安全生产台账（锦泰）-2023年,0.01,0,0.01,2023-07-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,沈陈强,吴增苗
HZJT20250141,杭州厘米钣金智造有限公司,杭州厘米钣金智造有限公司-危化品专家意见书（锦泰）-2025年,0.01,0,0.01,2025-08-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,叶绿明,胡建国
QT-HT-2026-2612,杭州佳浩机械有限公司,杭州佳浩机械有限公司-风险管控-2023年,0.01,0,0.01,2023-09-05 16:00:00,overdue_terminated,2026-06-26 10:00:06,方晔华,方晔华
QT-HT-2026-2611,杭州佳浩机械有限公司,杭州佳浩机械有限公司-安全生产台账-2023年,0.01,0,0.01,2023-09-05 16:00:00,overdue_terminated,2026-06-26 10:00:06,方晔华,方晔华
QT-HT-2026-2790,杭州舒桓纸张有限公司,杭州舒桓纸张有限公司-安全生产台账-2023年,0.01,0,0.01,2023-10-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,方晔华,胡建国
QT-HT-2026-2917,杭州巴固机械制造有限公司,杭州巴固机械制造有限公司-危化品专家意见书-2023年,0.01,0,0.01,2024-01-06 16:00:00,overdue_terminated,2026-06-26 10:00:07,段绘新,叶绿明
